#{"t_start": 1667833079.959336, "env_id": "abc-asic-v0"}
r,l,t,nd,lev,seq
0.280158,39,1521.076205,15084.5849609375,1387.313232421875,b -l; rwz; rf -l; rf -l; rwz; rf -l; rf -l; dc2; b; b; rf; rwz; rf -l; rf -l; dc2; rs -K 8 -l; rf -l; rs -K 8; &ifK3a_ifK3g; rs -K 8 -l; b; rf -l; rf; rwz; rwz; rs -K 8; rf -l; rs -K 8; rwz; rs -K 8; rf; rf -l; rf -l; rwz -l; rwz -l; rf -l; rwz -l; rw -l; rwz -l
0.25376,39,1554.584564,15689.4794921875,1382.740234375,ifraig; b -l; rs -K 8 -l; rwz; rwz; rs -K 8; rwz; rf -l; rf -l; ifraig; ifraig; rfz; &ifK3a_ifK3g; rw; &ifK3a_ifK3g; rwz; b -l; rwz; rf -l; rfz; b; rwz -l; rf -l; rf -l; ifraig; rfz; rwz; rwz; rf; rwz; rf -l; rf -l; rwz; rwz; rs -K 8; rw -l; rf -l; map_mst; rf
0.114769,39,1587.6689,15160.8671875,1697.47412109375,rs -K 8; b -l; b -l; rfz; rwz; rwz; b -l; rwz; rf -l; rwz; rwz; rfz -l; rf -l; rwz; b -l; rf -l; rs -K 8; rwz; rwz -l; rwz; rfz; b -l; rf -l; rs -K 8; rwz; rf -l; rf -l; b; rfz; rwz -l; &ifK3a_ifK3g; dc2; rw -l; rf -l; rwz; rwz; rs -K 8; rs -K 8; rwz
0.284347,39,1628.993083,14271.3701171875,1457.8330078125,b -l; dc2; b -l; b; rwz -l; map_mst; rf -l; dc2; ifraig; &ifK3a_ifK3g; rwz; rwz; rf -l; rf -l; rs -K 8; rf -l; rf -l; rfz; rs -K 8; rf -l; rwz; rf; rs -K 8; rw -l; rf; rs -K 8; ifraig; dc2; rwz -l; b; ifraig; rwz; rf -l; rwz -l; &ifK3a_ifK3g; rfz -l; dc2; b; rwz -l
0.288035,39,1672.68636,13250.7705078125,1562.0263671875,rs -K 8 -l; rwz; rf -l; b -l; &ifK3a_ifK3g; rwz; rwz; rs -K 8; rwz; rf -l; b -l; rf -l; rwz; rwz -l; rf -l; &ifK3a_ifK3g; rwz; b -l; rwz; b; rf -l; rwz -l; rwz -l; ifraig; rw -l; dc2; b -l; ifraig; rwz -l; ifraig; dc2; dc2; dc2; rfz; b -l; rf -l; dc2; ifraig; dc2
0.243757,39,1720.561682,14189.255859375,1549.432861328125,rwz; &ifK3a_ifK3g; b -l; rw; rwz -l; rwz; b -l; rw -l; rf -l; rwz; rf -l; rf; rwz; rwz; rs -K 8; rf -l; rs -K 8; b -l; rs -K 8; rf -l; rfz; rwz; rwz -l; rwz; dc2; rs -K 8; rf -l; dc2; rwz -l; dc2; b -l; map_mst; rf; rw; ifraig; rf; rs -K 8; rwz -l; rfz -l
0.183047,39,1759.646169,14534.5107421875,1634.05712890625,b -l; b -l; rwz; rf -l; rwz; b; rw; rwz; dc2; b; rfz -l; b; rfz; dc2; rwz; rwz; ifraig; rf -l; rs -K 8; b; ifraig; b -l; rfz; rwz; rwz -l; dc2; b; rf -l; b; b; rf; rwz -l; rwz -l; rfz -l; dc2; rs -K 8; b -l; b; b
-0.098241,39,1819.097366,14552.939453125,2193.904296875,ifraig; rf -l; rs -K 8; b; rwz -l; ifraig; dc2; map_mst; dc2; rfz -l; rfz -l; dc2; map_mst; rs -K 8; rf -l; b; ifraig; rf; rwz; b; b -l; b; ifraig; rfz; rfz -l; dc2; rs -K 8 -l; ifraig; rf -l; rs -K 8; ifraig; map_mst; dc2; rfz -l; rfz -l; b -l; rf -l; rwz; rwz -l
0.326733,39,1868.20329,14285.1337890625,1370.1680908203125,dc2; dc2; dc2; b -l; rs -K 8; rf -l; dc2; b -l; rf -l; rwz -l; rs -K 8 -l; rwz -l; ifraig; rwz; rwz -l; rfz; rfz; dc2; dc2; b -l; rf -l; dc2; rfz; dc2; rfz -l; rf; ifraig; dc2; b -l; rwz -l; rwz -l; dc2; ifraig; dc2; rf; b -l; rs -K 8; rs -K 8; rfz -l
0.284838,39,1924.584528,13934.0478515625,1492.099609375,b -l; rs -K 8 -l; ifraig; dc2; rf -l; rwz; rf -l; rf -l; rwz -l; rwz -l; dc2; map_mst; b -l; rs -K 8; rs -K 8 -l; rf -l; rf -l; rwz; rf -l; rwz -l; rwz -l; rfz -l; rfz -l; map_mst; b -l; rf -l; b; rfz; rf -l; ifraig; rwz; rfz; dc2; rf -l; dc2; rwz -l; rwz -l; b -l; rfz -l
0.110051,39,1972.544276,14260.6396484375,1814.24951171875,rs -K 8; b -l; ifraig; rs -K 8 -l; dc2; b -l; b -l; ifraig; rwz; rfz; rwz; rwz -l; rf -l; rwz -l; rw -l; rwz -l; dc2; map_mst; rs -K 8; &ifK3a_ifK3g; b; rf -l; rs -K 8; rw; rf -l; dc2; rf -l; rf -l; rwz -l; rfz; rw -l; rfz; &ifK3a_ifK3g; dc2; rwz; rf -l; rs -K 8; rf -l; rwz -l
0.279886,39,2016.230651,14474.0908203125,1446.3734130859375,dc2; dc2; ifraig; b -l; rf; rwz; rwz -l; rs -K 8; b -l; &ifK3a_ifK3g; rwz; rf -l; dc2; b -l; rwz; rf -l; rwz -l; rf; rwz -l; rw -l; rf; b -l; rs -K 8 -l; rfz; rs -K 8; rf -l; rwz -l; ifraig; rfz; rwz; rwz; rf -l; b -l; rf -l; rwz -l; rf; b; rfz -l; ifraig
0.291621,39,2066.518233,13430.1630859375,1533.399658203125,rf -l; rs -K 8; b; map_mst; rs -K 8 -l; b; b -l; dc2; rwz; rfz -l; dc2; rf -l; rfz -l; rfz; rs -K 8 -l; dc2; b; rf -l; rf -l; rwz -l; &ifK3a_ifK3g; dc2; b -l; rf -l; rf -l; rfz; map_mst; b -l; rf -l; rf; rs -K 8; ifraig; rf -l; rf; dc2; rf -l; rf -l; rwz -l; rwz -l
0.199041,39,2114.023172,13995.6337890625,1663.7510986328125,rs -K 8 -l; map_mst; b -l; &ifK3a_ifK3g; rf -l; rfz; rwz; rwz; rwz; rfz; rwz; rf -l; rf -l; dc2; rwz; rwz; rf -l; rs -K 8; rf -l; &ifK3a_ifK3g; rwz; rfz; rwz; b -l; rwz; rwz -l; rwz -l; rfz -l; dc2; rwz -l; dc2; rf -l; rfz; dc2; dc2; rf -l; dc2; dc2; rs -K 8
0.304746,39,2166.24462,13292.994140625,1520.518310546875,b -l; dc2; dc2; rf -l; b; rwz -l; rf -l; rfz; &ifK3a_ifK3g; rwz; rwz; rwz; rs -K 8; rf -l; rfz -l; rw -l; rw -l; map_mst; rf; rf -l; rf -l; rwz; rfz -l; rwz -l; dc2; ifraig; rs -K 8; b -l; rfz; rf -l; dc2; rfz; rwz -l; ifraig; dc2; dc2; rf -l; b -l; rfz -l
